text,,,
LETS GO JAKE,,,
LETS GOO,,,
Can u  my comment,,,
Best decision Jake,,,
LETS GO JAKE,,,
Fight in your on eight class,,,
Bron doesnt kno you,,,
lbs vs lbs Hmm seems legit,,,
betttt ne venue,,,
hole thing is ai,,,
Big boy,,,
Tesla,,,
Jake ur ay too big to fight Tank,,,
Jake Team,,,
Brothers editor discovered AI and thinks it is cool,,,
hy you so negative,,,
If you put something like this together all by yourself youd be pretty happy about it too,,,
Massive,,,
Please put you  on Canada  please bro I need this  Jake Paul,,,
Please put on Canada  please,,,
likes from Jake Paul is crazy,,,
Just got uploaded thats hy,,,
Alizalynnno bro its still at  likes,,,
Hey jake can i have  grand  Plz,,,
hat editing you have done,,,
He is still hot in the fat suit,,,
Youre gay mate,,,
You are gay mate,,,
Patrickbateman  ikr,,,
Patrickbateman is that a problem,,,
DashanHarriskr theres  genders bud,,,
Jesus Jake lose some eight big belly,,,
Good Jake,,,
good Jake,,,
Jake is really a good dude Hes nothing like his pos brother,,,
Ill fight you for your belt,,,
Thank you Mr Paul for helping Jake Askren,,,
By fighting a darf,,,
Please speak on Charlie Jake I kno you used to be one of the biggest free speech advocate during the election e need you in the fight,,,
,,,
Cvsx,,,
Jake Paul isnt a real boxer just cosplaying as one the Tyson fight as a joke as ell as his entire career,,,
Cringe,,,
You got this Jake e are betting on you  just train,,,
You nothing but a phony Pay your ops to lose cause youd lose to all of them if you didnt,,,
Fool,,,
You ill be champion just keep paying for it and you ill get there champ,,,
This makes me tear up,,,
Hey jake  please  iam asking for help for your helpiam trying to build my house but iam strugglingplease help,,,
Youre a goof,,,
Didnt ASK plus I make better CONTENT lil broski,,,
YESSS JakePaul   you ill,,,
Im here to remind mofos Jake Paul is  years old and created a pocket in the orld of boxing that gives the fighters the bag you cant knock it  And Jake actually takes boxing serious despite the  headlines Florida rocking ith you JAKE,,,
Is taking it serious boxing people  pounds lighter than you,,,
You helping Ben Askerin had made me a fan God bless you young man  I am no forever in your corner,,,
bro jake really is an inpiration,,,
heres my Jake brother at you reach out to me a hile back on my YouTube Channel as Sonja Lynn illiams  told me get up there ith YouTube Mafia I ish I had to but asnt ready  youre aesome,,,
I hope you in,,,
The amount of ass kissers in the comments,,,
ant to be happier subscribe,,,
Jake I do boxing Ive been doing it for  years,,,
Beat khamzat one day jake,,,
Good luck ith that Jake I ish you all the best,,,
Fight someone ithout any boxing experience just heart from the streets and and ex con I ant one let me get my ones jakepaul,,,
If your so good  Rematch Tommy,,,
I ould love to see Dominic Barry vs Jake Paul,,,
Absolute BS fight someone young and fresh like Tommy Fury again  That Tyson fight as fixed and many of the others,,,
Another upcoming staged fight,,,
Numbers arent hat it used to be you fell off Nobody gives a fuck about your boxing I guess youll have to find a real job at some point I give it  years Youre past your prime man,,,
There is only one god and his name is Jesus Christ,,,
TZ,,,
Yes go be a champ champ,,,
jake Paul is a criminal scammer,,,
Jake Paul Youre a Punk,,,
You staged your fight,,,
Your fights are staged your fights are staged,,,
The fact you called that British dude a peasant shos hat kinda person you are,,,
Gl ith that,,,
You gonna sue everyone lmao,,,
HAHAHAHAHAHAA,,,
Your fights are staged,,,
YOUR FIGHTS ARE STAGED,,,
Your fights are staged,,,
hat haped to you jake,,,
LETS GO CHAMP,,,
hen are e getting trans man vs Jake Paul,,,
Can i fight you bro so me and my family can be rich,,,
Oh I ill forsure lose but heart of a lion bro,,,
robertarnine tuff,,,
That part,,,
robertarnine youre eird,,,
Nicholasrvj u just ant something to say internet troll,,,
If Jon Jones and Jake Paul anted to make more money than they ever have theyd fight each other Boxing or modified kickboxing here kicks above the aist are alloed They can thro in grappling since Paul restled in college,,,
GO FIGHT DOMINIC BARRY,,,
Go fight Dominic Barry,,,
Go fight Dominic Barry,,,
All your fights are fixed,,,
Ok clon,,,
You got lucky but so did most other famous athletes Its easy to push yourself mentally hen the possible outcome is being remembered forever,,,
People mock Jake Pauls determination e all need to remember Anthony Joshua only started boxing at and he became a orld champion,,,
ART is in ALL of us u crazy kid,,,
Jake you inspired my to start boxing  you are amazing,,,
You are the biggest joke in current history You ont box a man unless he is an MMA fighter tice your age and you ont get in the octagon ith a man unless hes a boxer tice your age Its about time e laugh you off of the internet  Clon,,,
SORRY BRO  I KNO YOU ANT IT  BUT YOU AINT  THAT GOOD  TOMMY FURY SHOED HO BAD YOU ARE,,,
I ould like to see Jake fighting Jean pascal,,,
Yeah this banged,,,
I believe Jake and ould like to see him vs Joshua for a statement KO in FIRST then a title shot,,,
TZ,,,
of these comments might as ell start ith as a bot,,,
ho ants to see a random fan ith no experience fight Jake Paul I ould like to be that guy,,,
No you are neer going to beyou are a god boxer but no match for the real ones,,,
,,,
hos still here,,,
I mean,,,
Luke Dyson vs Jake Paul ull never be a orld champion Jake Paul check out Luke Dyson,,,
JAKE MARK MY ORDS YOU ILL BE A ORLD CHAMP ITHIN THE NEXT  MOUNTHS ONG LOVE YOU MAN KEEP IT UP,,,
I sa u on tv on  july,,,
Jake Paul vs Eddie Hall,,,
